Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of building
RBU50344,Oudenaarde,9700,259000.00,Appartment,Flat,Sale,2,90 ,1,False,,False,False,2,False,Normal
RBU37116,Temse,9140,290000.00,Appartment,Flat,Sale,2,95 ,,False,,True,False,2,,New
RBU48962,Kluisbergen,9690,419000.00,House,House,Sale,5,220 ,1,False,,True,1980 m²,4,False,To be renovated
RBU48882,Destelbergen,9070,449000.00,House,House,Sale,3,130 ,,,,False,300 m²,4,,Normal
RBU48604,Ronse,9600,175000.00,House,House,Sale,4,310 ,1,False,,True,325 m²,2,False,To renovate
RBU48276,Welle,9473,279000.00,Appartment,Flat,Sale,2,123 ,,False,False,5 m²,False,,,Normal
RBU48006,Oudenaarde,9700,320000.00,House,House,Sale,3,213 ,,,,False,True,,,Fully renovated
RBU47984,Merelbeke,9820,649000.00,House,House,Sale,5,212 ,,,,20 m²,281 m²,,,Excellent
RBU47412,Ronse,9600,189000.00,House,House,Sale,3,160 ,1,,,3 m²,100 m²,2,False,Normal
RBU47200,Kluisbergen,9690,265000.00,House,MixedBuilding,Sale,5,277 ,1,False,,22 m²,70 m²,2,False,Normal
RBU46933,Herzele,9550,269000.00,House,House,Sale,4,205 ,,False,True,18 m²,80 m²,,,Normal
RBU46519,Aalst,9300,288600.00,Appartment,Flat,Sale,2,101 ,,,,44 m²,True,,,
RBU46397,Oostakker,9041,249000.00,House,House,Sale,4,225 ,,,,True,True,3,,To be renovated
RBU46074,Aalter,9880,800.00,Appartment,Flat,Rent,2,92 ,,,,10 m²,True,,,
RBU45530,Borsbeke,9552,269000.00,House,House,Sale,4,205 ,,False,True,18 m²,80 m²,,,Normal
RBU44626,Deinze,9800,574500.00,House,House,Sale,3,184 ,,,,12 m²,117 m²,,,
RBU44624,Deinze,9800,521200.00,House,House,Sale,3,175 ,,,,12 m²,53 m²,,,
RBU44623,Deinze,9800,526200.00,House,House,Sale,3,193 ,,,,12 m²,117 m²,,,
RBU44619,Deinze,9800,416200.00,Appartment,Flat,Sale,2,110 ,,,,10 m²,112 m²,,,
RBU44616,Deinze,9800,326200.00,Appartment,Flat,Sale,2,102 ,,,,9 m²,True,,,
RBU43638,Ronse,9600,249000.00,House,House,Sale,4,244 ,1,False,,True,105 m²,2,False,To renovate
RBU43558,Zele,9240,429500.00,House,House,Sale,4,199 ,,,,True,True,3,,New
RBU43552,Kluisbergen,9690,790.00,House,House,Rent,2,153 ,,,,True,False,,,
RBU43551,Oudenaarde,9700,725.00,Appartment,Flat,Rent,2,,,,,False,False,,,Excellent
RBU43547,Moerbeke-Waas,9180,220000.00,Appartment,Flat,Sale,2,81 ,,,,True,False,2,,Excellent
RBU43176,Aalter,9880,305000.00,Appartment,Flat,Sale,2,110 ,,,,False,False,,,
RBU42556,Gent,9000,329000.00,House,House,Sale,4,97 ,,,,True,False,2,,Fully renovated
RBU41997,Ronse,9600,177500.00,House,House,Sale,3,162 ,,,,False,False,,,To be renovated
RBU41958,Oosterzele,9860,549000.00,House,House,Sale,4,204 ,,,,True,True,3,,Excellent
RBU41153,Zottegem,9620,385000.00,House,House,Sale,4,179 ,,,,True,559 m²,3,True,Normal
RBU40314,Zottegem,9620,155000.00,House,House,Sale,2,125 ,,False,False,9 m²,4 m²,,,To be renovated
RBU39645,Sint-Gillis-Waas,9170,810.00,Appartment,Flat,Rent,2,,,False,,True,False,2,,Normal
RBU39280,Maldegem,9990,358000.00,House,Villa,Sale,4,216 ,,,,True,True,,True,
RBU38184,Erpe-Mere,9420,249000.00,House,House,Sale,2,138 ,,False,False,17 m²,11 m²,,,Excellent
RBU38028,Ronse,9600,169500.00,House,House,Sale,3,147 ,1,True,,10 m²,200 m²,2,False,Normal
RBU36516,Welle,9473,449000.00,House,House,Sale,3,180 ,,False,False,20 m²,400 m²,,,New
RBU36508,Destelbergen,9070,618300.00,Appartment,Flat,Sale,3,146 ,,,,35 m²,True,,,
RBU36250,Aalst,9300,975.00,House,House,Rent,2,,,,,True,True,,,
RBT91395,Bachte-Maria-Leerne,9800,605000.00,House,House,Sale,4,219 ,,,,False,1110 m²,,,
RBS63292,Kruibeke,9150,797000.00,House,House,Sale,4,212 ,,,,False,True,4,,New
RBU18500,Gent,9000,240000.00,Appartment,Flat,Sale,1,39 ,,,,True,False,2,,Excellent
RBU33806,Aalst,9300,219000.00,Appartment,Flat,Sale,1,80 ,,False,False,True,False,,,Excellent
RBU33552,Oudenaarde,9700,249000.00,Appartment,Flat,Sale,2,81 ,,,,12 m²,True,2,,Normal
RBU33051,Aalst,9300,411500.00,Appartment,Flat,Sale,3,117 ,,,,18 m²,True,2,,New
RBU32999,Aalst,9300,435200.00,House,House,Sale,3,131 ,,,,13 m²,14 m²,2,,New
RBU32630,Beveren,9120,900.00,Appartment,Flat,Rent,2,105 ,,False,,True,False,3,,
RBU32533,Sint-Amandsberg,9040,99000.00,Appartment,FlatStudio,Sale,1,37 ,,,,False,False,2,,To be renovated
RBU32446,Eeklo,9900,149000.00,Appartment,Flat,Sale,,121 ,,,,True,True,3,,
RBU32258,Ronse,9600,140000.00,House,House,Sale,4,240 ,1,,,False,False,2,False,To be renovated
RBU32120,Ronse,9600,960000.00,House,MixedBuilding,Sale,10,500 ,,False,,True,False,3,False,Excellent
RBU31284,Aalst,9300,825.00,Appartment,Penthouse,Rent,2,90 ,,,,True,False,,,
RBU30151,Maldegem,9990,419313.00,House,House,Sale,3,165 ,,,,True,True,,,New
RBU30150,Maldegem,9990,437053.00,House,House,Sale,3,175 ,,,,True,True,,,New
RBU29047,Gent,9000,399000.00,Appartment,Flat,Sale,2,104 ,,,,13 m²,True,,,New
RBU29043,Gent,9000,429000.00,Appartment,Flat,Sale,2,103 ,,,,11 m²,True,,,New
RBU29042,Gent,9000,499000.00,House,House,Sale,3,132 ,,,,12 m²,True,2,,New
RBU29035,Gent,9000,499000.00,House,House,Sale,3,143 ,,,,12 m²,True,2,,New
RBU25879,Kluisbergen,9690,435000.00,House,House,Sale,3,175 ,,,,True,True,4,False,To be renovated
RBU24951,Steendorp,9140,1105.00,Appartment,Flat,Rent,2,102 ,,False,,True,False,4,,New
RBU24118,Zomergem,9930,349000.00,House,House,Sale,2,87 ,,,,False,True,3,,To be renovated
RBU24077,Merelbeke,9820,524000.00,House,House,Sale,4,183 ,,,,False,True,3,,New
RBU22920,Oosterzele,9860,385000.00,House,House,Sale,3,190 ,,False,,False,False,,,To be renovated
RBU22757,Scheldewindeke,9860,420000.00,House,House,Sale,4,180 ,,,,False,209 m²,,,
RBU20322,Herzele,9550,895000.00,House,House,Sale,4,465 ,,False,False,60 m²,528 m²,,,Normal
RBU19737,Zomergem,9930,795.00,Appartment,Flat,Rent,2,,,,,True,False,,,
RBU00057,Aalst,9300,900.00,Appartment,Flat,Rent,1,72 ,,False,False,False,False,,,Excellent
RBU12300,Ronse,9600,950.00,House,House,Rent,3,142 ,,,,30 m²,False,2,,
RBU11843,Stekene,9190,450000.00,House,House,Sale,3,248 ,,False,,True,True,2,,New
RBU08937,Aalst,9300,417700.00,Appartment,Flat,Sale,2,133 ,,,,21 m²,True,,,
RBT99501,Erpe-Mere,9420,295000.00,House,House,Sale,3,200 ,,False,False,30 m²,360 m²,,,Normal
RBT98014,Eke,9810,355000.00,Appartment,Flat,Sale,2,80 ,,False,False,25 m²,False,,False,New
RBT91228,Gentbrugge,9050,325000.00,House,House,Sale,3,154 ,,False,False,6 m²,30 m²,,False,Normal
RBT88298,Eeklo,9900,590000.00,House,House,Sale,5,328 ,,,,True,True,,,To be renovated
RBT88278,Lievegem,9920,866000.00,House,House,Sale,4,190 ,,,,True,True,4,False,New
RBT86489,Lede,9340,269000.00,House,House,Sale,3,154 ,,,,False,True,,,
RBT82042,Temse,9140,315000.00,House,House,Sale,5,246 ,1,,,True,True,3,,To be renovated
RBT75896,Wetteren,9230,885000.00,House,House,Sale,9,315 ,,,,True,1100 m²,4,,Normal
RBT67759,Evergem,9940,448000.00,House,House,Sale,4,193 ,,,,True,True,3,,New
RBT67757,Evergem,9940,458000.00,House,House,Sale,4,193 ,,,,True,True,3,,New
RBT67003,Zele,9240,260000.00,House,House,Sale,4,,1,,,,True,2,,To be renovated
RBT64159,Aalst,9300,495000.00,House,House,Sale,5,310 ,,False,False,25 m²,114 m²,,False,Normal
RBT64153,Aalst,9300,325000.00,House,House,Sale,3,128 ,,False,False,17 m²,114 m²,,False,Normal
RBT47240,Sint-Amandsberg,9040,149000.00,Appartment,Flat,Sale,1,30 ,,,,False,False,2,False,Normal
RBT44343,Ronse,9600,795000.00,House,MixedBuilding,Sale,8,305 ,1,False,,True,,3,False,Normal
RBT40015,Aalter,9880,402754.00,House,House,Sale,4,217 ,,,,False,107 m²,2,,New
RBT39281,Herzele,9550,299000.00,House,House,Sale,3,190 ,,False,False,,778 m²,,False,To be renovated
RBT24876,Erembodegem,9320,295000.00,Appartment,Duplex,Sale,4,182 ,1,False,False,30 m²,,,False,Normal
RBT08795,Ronse,9600,241500.00,Appartment,Flat,Sale,2,87 ,,False,,12 m²,,2,,
RBS87781,Beveren,9120,280000.00,Appartment,Flat,Sale,1,75 ,,,,11 m²,True,,False,New
RBS87780,Beveren,9120,300000.00,Appartment,Flat,Sale,2,90 ,,,,8 m²,True,,False,New
RBS87778,Beveren,9120,334000.00,Appartment,Flat,Sale,3,107 ,,,,9 m²,True,,False,New
RBS87777,Beveren,9120,288000.00,Appartment,Flat,Sale,1,75 ,,,,11 m²,True,,False,New
RBS87775,Beveren,9120,320000.00,Appartment,Flat,Sale,1,80 ,,,,22 m²,True,,False,New
RBS74568,Merelbeke,9820,432200.00,Appartment,Flat,Sale,2,99 ,,,,25 m²,False,,,New
RBS74565,Merelbeke,9820,607600.00,Appartment,Flat,Sale,3,145 ,,,,24 m²,False,,,New
RBS74564,Merelbeke,9820,637400.00,Appartment,Flat,Sale,3,161 ,,,,26 m²,False,,,New
RBS74549,Merelbeke,9820,645900.00,Appartment,Flat,Sale,3,156 ,,,,39 m²,False,,,New
RBS19281,Kaprijke,9970,385222.00,House,House,Sale,3,157 ,,,,False,True,3,,New
RBS18545,Aalter,9880,285000.00,Appartment,Flat,Sale,1,,,,,True,True,3,,New
RBS18544,Aalter,9880,325000.00,Appartment,Flat,Sale,2,,,,,True,True,3,,New
RBR93775,Herzele,9550,215000.00,Appartment,Flat,Sale,2,81 ,1,False,False,10 m²,60 m²,,,Normal
VBB76893,Bassevelde,9968,780000.00,House,MixedBuilding,Sale,6,1390 ,,,,,True,4,,
RBK38493,Herzele,9550,359900.00,House,House,Sale,3,180 ,,,,,285 m²,,,New
RBK38482,Herzele,9550,389200.00,House,House,Sale,4,187 ,,,,False,285 m²,,,New
RBK23492,Aalter,9880,398000.00,Appartment,Flat,Sale,2,,1,,,True,True,,,
RBK23491,Aalter,9880,398000.00,House,House,Sale,2,,1,,,True,True,2,,
RBJ74291,Aalst,9300,325000.00,Appartment,Flat,Sale,3,184 ,,,,True,False,,,Normal
RBJ55642,Stekene,9190,499000.00,House,House,Sale,4,239 ,,False,,True,True,3,,New
RBI58328,Aalst,9300,446000.00,House,House,Sale,4,206 ,,,,True,True,2,,New
RBU57287,Gent,9000,339900.00,Appartment,Flat,Sale,2,88 ,1,False,,False,,2,False,Normal
RBU57273,Deinze,9800,249000.00,Appartment,Flat,Sale,2,82 ,1,False,,4 m²,False,2,False,Fully renovated
RBU57193,Aalst,9300,338000.00,House,House,Sale,3,141 ,,False,,20 m²,129 m²,2,,Normal
VBD44448,Geraardsbergen,9500,350000.00,House,House,Sale,3,150 ,1,False,,40 m²,525 m²,3,False,Normal
RBU57172,Erpe-Mere,9420,299000.00,House,House,Sale,3,153 ,1,,,True,True,2,,Normal
RBU57171,Wetteren,9230,325000.00,House,House,Sale,3,186 ,1,False,,True,False,2,,Normal
VBD44402,Lede,9340,452017.00,House,House,Sale,4,183 ,,,,,,3,,New
VBD44401,Lede,9340,414942.00,House,House,Sale,3,132 ,,,,,,3,,New
VBD44400,Lede,9340,445950.00,House,House,Sale,3,166 ,,,,,,3,,New
VBD44399,Westrem,9230,537676.00,House,House,Sale,4,207 ,,,,,,3,,New
VBD44398,Sint-Lievens-Houtem,9520,517176.00,House,House,Sale,4,207 ,,,,,,3,,New
VBD44397,Sint-Lievens-Houtem,9520,485950.00,House,House,Sale,3,166 ,,,,,,3,,New
RBU57151,Geraardsbergen,9500,225000.00,House,MixedBuilding,Sale,,250 ,,,,,,2,,To be renovated
RBU57148,Gent,9000,370000.00,House,House,Sale,4,165 ,1,False,,True,25 m²,2,False,Normal
RBU57147,Gent,9000,245000.00,House,House,Sale,1,63 ,1,,,8 m²,7 m²,2,,Normal
RBU57146,Wetteren,9230,550.00,Appartment,Flat,Rent,1,60 ,1,False,,3 m²,False,2,False,Normal
RBU57139,Wetteren,9230,470000.00,House,House,Sale,3,160 ,1,False,,22 m²,True,3,False,New
RBU57138,Wetteren,9230,485000.00,House,House,Sale,3,160 ,1,False,,17 m²,True,3,False,New
RBU57137,Wetteren,9230,465000.00,House,House,Sale,3,160 ,1,False,,17 m²,True,3,False,New
RBU57136,Wetteren,9230,420000.00,House,House,Sale,3,157 ,1,False,,22 m²,True,2,False,New
RBU57135,Wetteren,9230,460000.00,House,House,Sale,3,160 ,1,False,,17 m²,True,3,False,New
RBU57134,Wetteren,9230,495000.00,House,House,Sale,3,164 ,1,False,,30 m²,True,4,False,New
RBU57131,Gent,9000,391000.00,Appartment,Flat,Sale,2,99 ,1,False,,23 m²,True,2,False,New
RBU57130,Gent,9000,395000.00,Appartment,Flat,Sale,3,96 ,1,False,,26 m²,True,2,False,New
RBU57129,Gent,9000,407500.00,Appartment,Flat,Sale,2,95 ,1,False,,25 m²,True,2,False,New
RBU57128,Gent,9000,489000.00,Appartment,Flat,Sale,4,134 ,1,False,,27 m²,True,3,False,New
RBU57127,Gent,9000,327500.00,Appartment,GroundFloor,Sale,2,89 ,1,False,,13 m²,False,2,False,New
RBU57126,Gent,9000,390000.00,Appartment,Flat,Sale,3,97 ,1,False,,29 m²,False,2,False,New
RBU57125,Gent,9000,250000.00,Appartment,GroundFloor,Sale,1,59 ,1,False,,10 m²,False,2,False,New
RBU57124,Gent,9000,360000.00,Appartment,Flat,Sale,3,104 ,1,False,,14 m²,False,2,False,New
RBU57123,Gent,9000,365000.00,Appartment,Flat,Sale,3,104 ,1,False,,17 m²,False,2,False,New
RBU57122,Gent,9000,347500.00,Appartment,Flat,Sale,2,85 ,1,False,,12 m²,False,2,False,New
RBU57121,Gent,9000,391000.00,Appartment,Flat,Sale,2,99 ,1,False,,23 m²,True,2,False,New
RBU57120,Gent,9000,395000.00,Appartment,Flat,Sale,3,96 ,1,False,,26 m²,True,2,False,New
RBU57119,Gent,9000,407500.00,Appartment,Flat,Sale,2,95 ,1,False,,25 m²,True,2,False,New
RBU57118,Gent,9000,489000.00,Appartment,Flat,Sale,4,134 ,1,False,,27 m²,True,3,False,New
RBU57117,Gent,9000,360000.00,Appartment,Flat,Sale,3,104 ,1,False,,14 m²,False,2,False,New
RBU57116,Gent,9000,365000.00,Appartment,Flat,Sale,3,104 ,1,False,,17 m²,False,2,False,New
RBU57115,Gent,9000,347500.00,Appartment,Flat,Sale,2,85 ,1,False,,12 m²,False,2,False,New
RBU57114,Gent,9000,327500.00,Appartment,GroundFloor,Sale,2,89 ,1,False,,13 m²,False,2,False,New
RBU57113,Gent,9000,250000.00,Appartment,GroundFloor,Sale,1,59 ,1,False,,10 m²,False,2,False,New
RBU57111,Gent,9000,390000.00,Appartment,Flat,Sale,3,97 ,1,False,,29 m²,False,2,False,New
RBU57110,Deinze,9800,431990.00,Appartment,Flat,Sale,2,114 ,1,False,,11 m²,True,2,False,New
RBU57109,Deinze,9800,391240.00,Appartment,Flat,Sale,2,103 ,1,False,,11 m²,True,2,False,New
RBU57108,Deinze,9800,301240.00,Appartment,Flat,Sale,1,89 ,1,False,,9 m²,True,2,False,New
RBU57107,Deinze,9800,326240.00,Appartment,Flat,Sale,2,102 ,1,False,,9 m²,True,2,False,New
RBU57106,Deinze,9800,429740.00,Appartment,Flat,Sale,3,117 ,1,False,,10 m²,True,2,False,New
RBU57105,Deinze,9800,416240.00,Appartment,Flat,Sale,2,95 ,1,False,,16 m²,90 m²,2,False,New
RBU57104,Deinze,9800,526240.00,House,House,Sale,3,193 ,1,False,,13 m²,117 m²,2,False,New
RBU57103,Deinze,9800,581990.00,House,House,Sale,3,186 ,1,False,,13 m²,93 m²,3,False,New
RBU57102,Deinze,9800,574490.00,House,House,Sale,3,184 ,1,False,,13 m²,117 m²,2,False,New
RBU57101,Deinze,9800,521240.00,House,House,Sale,3,175 ,1,False,,13 m²,53 m²,2,False,New
RBU57100,Gentbrugge,9050,500000.00,House,House,Sale,3,150 ,1,False,,9 m²,23 m²,2,False,New
RBU57075,Elversele,9140,219000.00,House,House,PublicSale,3,,,,,False,True,,,To be renovated
RBT74284,Bellem,9881,310000.00,House,House,Sale,,,,,,False,True,2,,
RBU57018,Geraardsbergen,9500,238000.00,House,House,Sale,2,135 ,,False,,20 m²,True,2,,Normal
RBU57015,Oudenaarde,9700,429000.00,House,House,Sale,3,196 ,,False,,14 m²,True,2,False,New
RBU57012,Gent,9000,379000.00,House,House,Sale,3,106 ,1,,,4 m²,,2,,
RBU57011,Lovendegem,9920,329000.00,Appartment,Flat,Sale,3,123 ,1,False,,True,False,3,False,Excellent
RBU56979,Sint-Niklaas,9100,449000.00,House,House,Sale,4,169 ,,False,,True,True,2,,Normal
RBU42250,Viane,9500,138000.00,House,House,Sale,2,105 ,,False,,True,True,2,,To be renovated
RBU56970,Gentbrugge,9050,160000.00,House,House,PublicSale,3,,,,,False,True,,,
RBU56967,Ledeberg,9050,449000.00,House,House,Sale,4,149 ,1,False,,True,False,2,False,Excellent
RBU56964,Oosteeklo,9968,399000.00,Appartment,Duplex,Sale,3,163 ,,,,15 m²,False,,,
RWC41079,Melsele,9120,800.00,Appartment,Flat,Rent,1,80 ,1,,,30 m²,,,,Excellent
RBU56915,Gent,9000,299000.00,Appartment,Flat,Sale,3,108 ,,,,9 m²,False,,,Normal
RBU56741,Evergem,9940,389000.00,House,House,Sale,4,175 ,1,,,True,85 m²,3,False,Normal
VBD44127,Gent,9000,495000.00,Appartment,Flat,Sale,2,116 ,,False,,False,False,2,False,Fully renovated
VBD44118,Maarkedal,9680,422950.00,House,House,Sale,3,166 ,,,,,,3,,New
RBU62717,Aartrijke,8211,900.00,House,House,Rent,3,138 ,,False,,True,True,,,Normal
RBU62613,Zedelgem,8210,350000.00,Appartment,Flat,Sale,2,91 ,,,,14 m²,False,,,
RBU62561,Moen,8552,345000.00,House,House,Sale,3,184 ,,,,15 m²,True,2,,
RBU62532,Gullegem,8560,378000.00,House,House,Sale,3,143 ,,,,True,True,2,,
RBU62390,Roeselare,8800,279000.00,House,House,Sale,4,148 ,,,,False,True,2,,
RBU62147,Blankenberge,8370,449000.00,House,House,Sale,3,155 ,,,,True,True,4,,
RBU62084,Heestert,8551,174000.00,House,House,Sale,5,234 ,,,,False,True,3,,
RBU61602,Avelgem,8580,750.00,House,House,Rent,3,142 ,,False,,True,,2,,Fully renovated
RBU61601,Avelgem,8580,690.00,Appartment,Flat,Rent,2,70 ,1,,,5 m²,,2,,New
RBU61513,Knokke-Heist,8300,437000.00,Appartment,Flat,Sale,1,67 ,,,,10 m²,False,,,
RWC41138,Wervik,8940,249000.00,House,House,Sale,5,180 ,1,,False,True,True,2,False,Fully renovated
RBU61275,Harelbeke,8530,265000.00,House,House,Sale,2,140 ,,,,True,True,,,
RBU60727,Koksijde,8670,950.00,Appartment,Flat,Rent,3,90 ,,,,True,False,,,
RWC41129,Menen,8930,250000.00,House,Bungalow,Sale,3,173 ,1,,True,True,True,2,False,Normal
RBU60582,Koksijde,8670,520000.00,Appartment,Flat,Sale,,,,,,True,False,,,
RBU60572,Brugge,8000,345000.00,House,House,Sale,1,50 ,,,,True,True,,,
RBU59600,Oostende,8400,895.00,Appartment,Flat,Rent,3,,,,,True,False,,,Excellent
RBU14796,Oostduinkerke,8670,125000.00,Appartment,FlatStudio,Sale,,,,True,,True,False,,True,
RBU19525,Roeselare,8800,290000.00,House,House,Sale,3,260 ,,,,False,False,2,,Excellent
RBU59255,Kortemark,8610,690.00,Appartment,Flat,Rent,2,70 ,,,,False,True,2,,Normal
RBU27255,Avelgem,8580,155000.00,House,House,Sale,2,,,False,,True,True,3,,Normal
RWC41100,Kortrijk,8500,309500.00,Appartment,Penthouse,Sale,2,90 ,,,,True,,,,Excellent
RBU58498,Oostduinkerke,8670,333000.00,House,House,Sale,2,80 ,,True,,True,True,2,,
RBU58448,Roeselare,8800,930.00,Appartment,Flat,Rent,3,,,True,,True,False,3,,Excellent
RBU55696,Diksmuide,8600,1245.00,House,House,Rent,3,140 ,,,,True,True,3,,New
RBU25477,Roeselare,8800,135000.00,Appartment,Flat,Sale,2,89 ,,False,,True,False,2,,To be renovated
RBU55625,Hooglede,8830,685000.00,House,House,Sale,4,300 ,,,,True,True,,,Excellent
RBT29590,Middelkerke,8430,275000.00,Appartment,Flat,Sale,2,70 ,,True,,True,False,,,
RBU55447,Middelkerke,8430,465000.00,Appartment,Flat,Sale,2,98 ,,True,,True,False,,,Normal
RWC41048,Blankenberge,8370,348800.00,Appartment,Flat,Sale,3,115 ,1,,,True,True,,,Excellent
RWC41047,Blankenberge,8370,348800.00,House,House,Sale,3,115 ,1,,,True,True,,,Excellent
RWC41046,Jabbeke,8490,439850.00,House,House,Sale,4,188 ,1,,,True,True,,,Excellent
RWC41045,Zeebrugge,8380,469000.00,Appartment,Flat,Sale,2,100 ,1,,,True,,2,,Excellent
RBT29418,Zwevegem,8550,500000.00,House,House,Sale,3,249 ,1,False,,23 m²,True,3,,New
RBT69747,Harelbeke,8530,380000.00,Appartment,Flat,Sale,3,122 ,1,,,True,False,3,,Excellent
RBU66382,Bissegem,8501,319000.00,House,House,Sale,3,158 ,,False,,False,144 m²,2,,Normal
RBU66380,Wakken,8720,445000.00,House,House,Sale,3,299 ,,False,,False,False,,,Normal
RBU66379,Pittem,8740,259000.00,House,House,Sale,3,148 ,,,,False,False,,,To demolish
RBU66377,Oostende,8400,285000.00,Appartment,Flat,Sale,2,87 ,,False,,True,False,,,Normal
RBU66374,Nieuwpoort,8620,895000.00,Appartment,Flat,Sale,3,104 ,,,,True,False,,,Normal
RBU66373,Koksijde,8670,139900.00,Appartment,Flat,Sale,1,48 ,,True,,True,False,,,Normal
RBU66372,Oudenburg,8460,135000.00,House,House,Sale,3,138 ,,,,False,False,,,To be renovated
RBU66346,Roeselare,8800,825.00,House,House,Rent,3,,,,,1 m²,False,2,,
RBU66339,Aarsele,8700,870.00,House,House,Rent,3,136 ,,,,False,True,2,,
RBU66330,Wevelgem,8560,199000.00,House,House,Sale,3,,,,,False,True,2,,
RBU66321,Knokke-Heist,8300,1195000.00,House,House,Sale,4,204 ,,,,True,True,4,,
RBU66320,Brugge,8000,268000.00,Appartment,Flat,Sale,2,,,,,True,True,2,,Excellent
RBU66252,Knokke-Heist,8300,729000.00,Appartment,Flat,Sale,2,66 ,,,,True,False,2,,Fully renovated
RBU66233,Oostende,8400,169000.00,Appartment,Flat,Sale,1,61 ,,,,False,True,,,Excellent
RBU66130,Blankenberge,8370,219000.00,Appartment,Flat,Sale,2,65 ,,,,2 m²,True,,,
RBU65993,Aalbeke,8511,325000.00,House,House,Sale,3,170 ,1,,,610 m²,True,2,False,Normal
RBU65988,Bavikhove,8531,285000.00,House,House,Sale,4,220 ,1,False,,37 m²,500 m²,3,False,Normal
RBU65986,Kortrijk,8500,478452.00,House,House,Sale,3,160 ,1,False,,True,True,4,False,New
RBU65985,Hulste,8531,295000.00,House,House,Sale,3,152 ,1,False,,True,234 m²,3,False,Fully renovated
RBU65972,Oostende,8400,870.00,Appartment,Flat,Rent,2,78 ,,True,,False,False,,,
RBU65947,Rekkem,8930,185000.00,House,House,Sale,2,,,False,,True,360 m²,3,,Normal
RBU65945,Roeselare,8800,345000.00,House,House,Sale,2,152 ,,False,,True,59 m²,2,,Normal
RBU65943,Moorsele,8560,535000.00,House,House,Sale,4,315 ,,False,,True,True,2,,Normal
RBU65928,Ledegem,8880,248000.00,House,House,Sale,2,151 ,1,,,35 m²,75 m²,2,,Fully renovated
RBU65864,Roeselare,8800,177500.00,Appartment,Flat,Sale,2,98 ,,,,True,False,,,
RBU65841,Assebroek,8310,279000.00,Appartment,GroundFloor,Sale,3,93 ,,,,False,False,,,
RBU65833,Oostende,8400,750.00,Appartment,Flat,Rent,2,,,,,1 m²,False,,,
RBU65814,Izegem,8870,155000.00,House,House,Sale,3,165 ,1,False,,20 m²,110 m²,2,False,Normal
RBU65813,Oostrozebeke,8780,399000.00,House,House,Sale,3,165 ,1,False,,46 m²,150 m²,3,False,Normal
RBU65811,Brugge,8000,850.00,House,House,Rent,2,,,,,True,True,2,,
RBU65810,Brugge,8000,720.00,Appartment,Flat,Rent,1,68 ,,,,False,False,,,
RBU65806,Dudzele,8380,250000.00,House,House,Sale,3,,,,,False,True,2,,
RBU65802,Ieper,8900,750000.00,House,Cottage,Sale,4,1500 ,1,False,,True,8000 m²,4,False,To be renovated
RBU65801,Geluwe,8940,359000.00,House,House,Sale,2,152 ,,,,99 m²,True,2,,
RBU65800,Brugge,8000,750.00,Appartment,Flat,Rent,2,70 ,,,,False,False,,,
RBU65797,Moorslede,8890,1906009.00,House,House,Sale,4,500 ,,,,True,True,4,False,
RBU65753,Bredene,8450,226000.00,Appartment,Flat,Sale,1,70 ,,,,8 m²,,,,
RWC41175,Wervik,8940,225000.00,House,House,Sale,3,115 ,1,,True,True,True,2,False,Fully renovated
RBU65728,Ledegem,8880,460000.00,House,Villa,Sale,4,225 ,,False,,True,True,4,,Normal
RBU65715,Roeselare,8800,139000.00,House,House,Sale,3,141 ,,,,False,True,2,,
RBU65714,Moorslede,8890,246500.00,Appartment,Duplex,Sale,2,104 ,,,,True,False,,,
RBU65713,Meulebeke,8760,950.00,House,House,Rent,4,202 ,,,,False,True,4,,
RBU65711,Sint-Kruis,8310,299000.00,House,House,Sale,3,,,,,True,True,2,,
RBU65709,Oostende,8400,365000.00,House,House,Sale,4,,,,,False,True,2,,
RBU65708,Zonnebeke,8980,995000.00,House,House,Sale,4,529 ,,,,200 m²,True,4,True,
RBU65705,Brugge,8000,495000.00,House,House,Sale,5,209 ,,,,True,True,2,,
RBU65704,Moorslede,8890,349000.00,House,House,Sale,4,187 ,,,,44 m²,True,3,,
RBU65697,Ieper,8900,362000.00,House,MasterHouse,Sale,6,320 ,,,,True,True,2,,To be renovated
RBU65696,Sint-Kruis,8310,349000.00,House,House,Sale,3,,,,,True,True,,,
RBU65695,Blankenberge,8370,165000.00,Appartment,Flat,Sale,1,60 ,,,,False,False,2,,Excellent
RBU65692,Roeselare,8800,299220.00,Appartment,Flat,Sale,2,101 ,,,,8 m²,True,2,,New
RBU65691,Roeselare,8800,265275.00,Appartment,Flat,Sale,2,79 ,,,,10 m²,True,2,,New
RBU65690,Roeselare,8800,501843.00,Appartment,Flat,Sale,3,133 ,,,,11 m²,True,2,,New
RBU65689,Roeselare,8800,470960.00,Appartment,Flat,Sale,3,133 ,,,,10 m²,True,2,,New
RBU65642,Oostende,8400,246000.00,Appartment,Flat,Sale,2,74 ,,,,8 m²,False,2,,To be renovated
RBU65636,Wevelgem,8560,379000.00,House,House,Sale,3,183 ,,,,True,True,2,,Excellent
RBU65635,Houthulst,8650,499000.00,House,House,Sale,3,166 ,,,,True,True,4,,Excellent
