Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of building
RBU66164,Opwijk,1745,315000.00,House,House,Sale,2,118 ,,,,True,True,3,,
VBD47309,Woluwe-saint-Etienne,1932,275000.00,Appartment,Flat,Sale,2,74 ,1,False,,2 m²,False,2,False,Normal
VBD46490,Overijse,3090,420000.00,House,House,Sale,3,189 ,1,False,,True,True,4,False,
RBU60687,Hoeilaart,1560,229000.00,Appartment,Flat,Sale,1,66 ,,False,,26 m²,False,,,
RBU24711,Tervuren,3080,2850.00,House,Villa,Rent,3,265 ,,,,True,True,,,
VBD49674,Wezembeek-Oppem,1970,1200000.00,House,Villa,Sale,3,240 ,1,False,,30 m²,700 m²,4,False,Excellent
VBD49668,Beersel,1650,2200.00,House,House,Rent,3,200 ,1,False,,20 m²,600 m²,3,,Excellent
RBU66385,Asse,1730,430000.00,House,House,Sale,3,,,False,False,True,True,,,Normal
RBU66333,Aarschot,3200,329000.00,House,House,Sale,3,165 ,,,,True,True,4,,
VBD49627,Beersel,1650,575000.00,House,House,Sale,2,150 ,,,,60 m²,True,4,,
RBU66328,Sint-Genesius-Rode,1640,490000.00,Appartment,Duplex,Sale,3,131 ,,,,True,False,,,
RBU66324,Keerbergen,3140,380000.00,Appartment,Penthouse,Sale,3,130 ,,,,True,True,,,
RBU66323,Keerbergen,3140,450000.00,Appartment,Penthouse,Sale,2,92 ,,,,True,False,,,
RBU66164,Opwijk,1745,315000.00,House,House,Sale,2,118 ,,,,True,True,3,,
RBU66161,Opwijk,1745,415000.00,Appartment,Flat,Sale,3,145 ,1,,,False,False,2,,Excellent
RBU66153,Machelen,1830,269000.00,Appartment,Flat,Sale,1,51 ,1,False,,8 m²,True,2,,Excellent
RBU66144,Zellik,1731,179000.00,Appartment,Flat,Sale,2,72 ,,False,,7 m²,False,,,Excellent
RBU66143,Borchtlombeek,1761,479500.00,House,House,Sale,3,114 ,,,,25 m²,False,3,,
RBU66141,Roosdaal,1760,479500.00,House,House,Sale,3,114 ,,,,25 m²,False,3,,
RBU66000,Kessel-Lo,3010,1195.00,Appartment,Flat,Rent,2,76 ,,,,False,False,2,,
RBU65999,Nossegem,1930,625000.00,House,House,Sale,4,238 ,,,,True,150 m²,3,,Excellent
VBD49582,Waasmont,3401,485000.00,House,House,Sale,5,246 ,1,False,,True,True,3,False,Excellent
VBD49575,Sint-Genesius-Rode,1640,1800.00,House,Villa,Rent,3,145 ,,False,,15 m²,True,3,,Normal
VBD49573,Zellik,1731,920.00,Appartment,Flat,Rent,1,65 ,1,False,,8 m²,False,,False,Normal
VBD49560,Sint-Genesius-Rode,1640,3000.00,Appartment,Duplex,Rent,2,326 ,1,False,,True,True,3,False,Fully renovated
VBD49558,Liedekerke,1770,325000.00,House,House,Sale,3,150 ,,False,,33 m²,55 m²,2,,Normal
RBU65962,Sint-Joris-Weert,3051,850.00,Appartment,Duplex,Rent,2,90 ,,,,3 m²,False,,,
RBU65961,Heverlee,3001,1250.00,House,House,Rent,2,107 ,,,,20 m²,30 m²,2,,New
RBU65958,Heverlee,3001,1650000.00,House,Villa,Sale,5,616 ,,False,,True,True,4,,To be renovated
RBU65936,Aarschot,3200,299000.00,Appartment,Flat,Sale,1,67 ,,,,31 m²,80 m²,2,,New
RBU65935,Aarschot,3200,365000.00,Appartment,Flat,Sale,2,96 ,,,,31 m²,True,3,,New
VBD49534,Sint-Genesius-Rode,1640,995000.00,House,Villa,Sale,6,406 ,1,False,,30 m²,550 m²,4,False,Excellent
RBU65896,Merchtem,1785,354000.00,Appartment,Flat,Sale,2,94 ,,False,,8 m²,True,4,,Excellent
RBU65895,Merchtem,1785,375000.00,Appartment,Flat,Sale,2,103 ,,False,,8 m²,True,4,,Excellent
RBU65894,Merchtem,1785,310000.00,Appartment,Flat,Sale,2,104 ,,False,,9 m²,5 m²,3,,Normal
RBU65892,Ternat,1740,489000.00,House,House,Sale,3,235 ,,False,,10 m²,66 m²,2,,Normal
RBU65890,Tremelo,3120,499000.00,House,House,Sale,4,215 ,1,,,True,True,4,,Excellent
RBU65889,Vilvoorde,1800,289000.00,Appartment,Flat,Sale,2,85 ,,False,,7 m²,False,3,,Normal
RBU65888,Vilvoorde,1800,379000.00,Appartment,Duplex,Sale,5,191 ,,False,,7 m²,False,3,,To be renovated
RBU65887,Vilvoorde,1800,549950.00,House,Villa,Sale,3,194 ,,False,,18 m²,154 m²,4,,To be renovated
VBD49508,Overijse,3090,1795000.00,House,House,Sale,4,564 ,1,False,,30 m²,4500 m²,4,True,Excellent
VBD49507,Wezembeek-Oppem,1970,560000.00,Appartment,Duplex,Sale,3,160 ,,False,,24 m²,120 m²,3,,Normal
VBD49506,Wezembeek-Oppem,1970,560000.00,House,House,Sale,3,160 ,,False,,24 m²,120 m²,3,,Normal
VBD49441,Sint-Genesius-Rode,1640,2300.00,House,Villa,Rent,5,265 ,1,,,True,10 m²,4,False,Normal
RBU65874,Tervuren,3080,2950.00,House,House,Rent,5,250 ,1,False,,True,True,4,False,Normal
VBD49416,Wemmel,1780,315000.00,Appartment,Flat,Sale,2,133 ,,False,,True,False,3,,Normal
RBU65848,Kraainem,1950,219000.00,Appartment,Flat,Sale,1,45 ,,False,,,,,,
RBU65846,Everberg,3078,2450.00,House,Villa,Rent,4,306 ,1,,True,30 m²,True,4,,
RBU65845,Kampenhout,1910,875668.00,House,Villa,Sale,3,,,,,,True,4,,New
VBD49361,Tervuren,3080,290000.00,Appartment,Flat,Sale,2,94 ,1,False,,6 m²,False,2,False,To be renovated
RBU65840,Dilbeek,1700,465000.00,House,House,Sale,2,123 ,1,False,,18 m²,True,2,,New
RBU65838,Zellik,1731,290000.00,Appartment,Flat,Sale,2,88 ,1,,,,277 m²,2,,Excellent
RBU65834,Machelen,1830,1395000.00,House,House,Sale,4,328 ,,,,True,True,4,,
RBU65808,Halle,1500,250000.00,House,House,Sale,2,160 ,,,,True,True,2,,
RBU65768,Keerbergen,3140,395000.00,House,House,Sale,2,149 ,,False,,True,True,,,
RBU65762,Linden,3210,1395000.00,House,House,Sale,4,284 ,,False,,True,True,4,True,Normal
RBU65759,Hoeilaart,1560,480000.00,House,House,Sale,3,154 ,,False,,False,36 m²,2,,Fully renovated
RBU65752,Sint-Kwintens-Lennik,1750,355000.00,House,House,Sale,5,180 ,,,,True,True,3,False,To be renovated
RBU65746,Sterrebeek,1933,1380.00,Appartment,Flat,Rent,3,110 ,,False,,14 m²,False,,,
VBD49212,Kraainem,1950,1650.00,Appartment,Duplex,Rent,2,135 ,,False,,33 m²,False,,,Excellent
VBD49192,Wemmel,1780,270000.00,House,House,PublicSale,2,,,,,False,False,,,
RBU65741,Wezembeek-Oppem,1970,549000.00,House,House,Sale,2,,1,,True,25 m²,,3,,
RBU65739,Asse,1730,349000.00,House,House,Sale,2,170 ,,False,False,False,True,,,Normal
VBD49182,Wezembeek-Oppem,1970,1050.00,Appartment,Flat,Rent,1,60 ,1,False,,True,True,2,False,Excellent
VBD49171,Kortenberg,3070,735000.00,House,House,Sale,4,265 ,1,False,,40 m²,850 m²,3,False,Excellent
VBD49160,Wemmel,1780,595000.00,House,House,Sale,5,190 ,1,False,,True,True,4,False,To renovate
RBU65725,Merchtem,1785,1100.00,Appartment,Flat,Rent,2,94 ,,False,,True,False,3,,Normal
VBD49139,Sint-Genesius-Rode,1640,895000.00,House,Villa,Sale,4,200 ,,,,30 m²,True,4,,
RBU65706,Halle,1500,520000.00,House,House,Sale,6,255 ,,,,True,True,2,,
RBU65701,Baal,3128,399000.00,House,House,Sale,3,210 ,,,,True,True,4,,
RBU65698,Aarschot,3200,324000.00,House,House,Sale,3,291 ,,,,True,True,4,,Excellent
RBU65684,Leuven,3000,127000.00,Appartment,Flat,Sale,1,18 ,,True,,False,False,,,
RBU65680,Sint-Agatha-Rode,3040,640000.00,House,House,Sale,3,192 ,,,,True,True,4,,New
RBU65679,Leuven,3000,298000.00,House,House,Sale,2,85 ,,,,False,False,2,,
RBU65645,Baal,3128,498000.00,House,House,Sale,4,177 ,,,,True,True,4,,
RBU65639,Sterrebeek,1933,2600.00,House,House,Rent,4,217 ,,,,True,True,3,,
VBD49082,Lot,1651,650000.00,Appartment,Flat,Sale,2,180 ,1,False,,False,,3,False,Excellent
