Locality name,count
Genval,13
Overijse,13
Borgloon,13
Duinbergen,13
Paliseul,13
Saint-Hubert,13
Sint-Lievens-Houtem,13
Mont-sur-Marchienne,13
Érezée,13
Messancy,12
Etterbeek,12
Koekelberg,12
Châtelet,12
Ramillies,12
Berg,12
Aubange,12
La Hulpe,12
Erpe-Mere,12
Houffalize,12
Tenneville,12
De Panne,12
Wilrijk,12
Mortsel,12
Gerpinnes,12
Opwijk,12
Wondelgem,11
Orp-Jauche,11
Marchienne-au-Pont,11
Aalter,11
De Haan,11
Malonne,11
Heist-op-den-Berg,11
Lede,11
Borgerhout,11
Lodelinsart,10
Bredene,10
Merchtem,10
Diepenbeek,10
Saint-Servais,10
Yvoir,10
Villers-la-Ville,10
Court-Saint-Étienne,10
Merelbeke,10
Knokke,10
Zwijnaarde,10
Vosselaar,10
Zedelgem,10
Muizen,9
Erquelinnes,9
Keerbergen,9
Assebroek,9
Ittre,9
Auvelais,9
Gembloux,9
Éghezée,9
Genappe,9
Lummen,9
Huizingen,9
Sint-Pieters-Leeuw,9
Tremelo,9
Zonhoven,9
Somme-Leuze,9
Astene,9
Florennes,9
Herent,9
Eeklo,9
Stekene,9
Florenville,8
Corbion,8
Paal,8
Couillet,8
Sivry-Rance,8
Machelen,8
Oostduinkerke,8
Waardamme,8
Koekelare,8
Braine-le-Comte,8
Grez-Doiceau,8
Blaimont,8
Brasschaat,8
Hoogstraten,8
Sint-Katelijne-Waver,8
Berchem-Sainte-Agathe,8
Nazareth,8
Denderleeuw,8
Duffel,8
Ransart,8
Aarschot,8
Tintigny,8
Hastière,8
Hastière-Lavaux,8
Assesse,8
Westerlo,8
Montigny-le-Tilleul,8
Musson,8
Waregem,8
Staden,7
Oostrozebeke,7
Enghien,7
Sint-Kruis,7
Gouvy,7
Sint-Andries,7
Dottignies,7
Jemeppe-Sur-Sambre,7
Maldegem,7
Izegem,7
Beernem,7
Ohey,7
Erembodegem,7
Sint-Idesbald,7
Neder-Over-Heembeek,7
Farciennes,7
Martelange,7
Rekkem,7
Diksmuide,7
Soignies,7
Anhée,7
Diegem,7
Beauvechain,7
Bièvre,7
Ottignies-Louvain-la-Neuve,7
Sint-Amandsberg,7
Sleidinge,7
Floreffe,7
Pelt,7
Anderlues,7
Mettet,7
Destelbergen,7
Fleurus,7
Aublain,7
Affligem,7
Mont-Saint-Guibert,7
Haaltert,7
Haine-Saint-Pierre,7
Beveren,7
Boom,7
Retie,6
Kontich,6
Lievegem,6
Puurs,6
Heusden,6
Moerbeke-Waas,6
Ieper,6
Zeebrugge,6
Oud-Turnhout,6
Waarschoot,6
Sint-Denijs-Westrem,6
Bouffioulx,6
Ganshoren,6
Avelgem,6
Dour,6
Meulebeke,6
Wépion,6
Havelange,6
Jauche,6
Profondeville,6
Hoeilaart,6
Dilbeek,6
Zellik,6
Strombeek-Bever,6
Riemst,6
Limelette,6
Seilles,6
Heppen,6
Libramont,6
Châtillon,6
Châtelineau,6
Vresse-sur-Semois,6
Beffe,6
Sambreville,6
Wezembeek-Oppem,6
Ecaussinnes,6
Antoing,6
Berchem,6
Dadizele,6
Kuurne,6
Herselt,6
Dentergem,6
Péruwelz,6
Bonheiden,6
Houyet,6
Tielt,6
Beverst,5
Étalle,5
Kinrooi,5
Tamines,5
Herbeumont,5
Lochristi,5
Houdemont,5
Ooigem,5
Ligny,5
Vaux-sur-Sûre,5
Zutendaal,5
Meix-devant-Virton,5
Gistel,5
