Price per m2,count
1755.3191489361702,2
1657.3033707865168,2
2714.285714285714,2
2466.6666666666665,2
1005.4347826086956,2
2305.555555555556,2
2487.1794871794878,2
1425.438596491228,2
2075.0,2
2806.25,2
2906.9767441860463,2
1678.3216783216783,2
2037.037037037037,2
2092.5925925925926,2
3873.239436619718,2
1346.1538461538462,2
2838.4615384615386,2
883.3063209076175,2
3170.731707317073,2
2145.1612903225805,2
4985.714285714285,2
2938.8888888888887,2
1272.7272727272727,2
2217.7419354838707,2
1945.6521739130435,2
2712.7659574468084,2
2912.408759124088,2
1992.7536231884055,2
1826.6666666666667,2
3211.1111111111118,2
2837.8384615384616,2
2328.125,2
3602.409638554217,2
1430.167597765363,2
1476.190476190476,2
3615.3846153846152,2
1390.0,2
3563.8297872340427,2
1574.074074074074,2
2386.3636363636365,2
2031.25,2
1697.872340425532,2
1852.7131782945737,2
2704.9180327868853,2
4107.142857142857,2
3262.71186440678,2
4475.0,2
1614.8648648648648,2
2352.9411764705883,2
2205.8823529411766,2
2051.7241379310344,2
1404.7619047619048,2
3661.764705882353,2
3376.344086021505,2
2650.0,2
1654.7619047619048,2
2515.151515151515,2
1138.095238095238,2
652.1739130434783,2
2580.0,2
2716.6666666666665,2
3053.097345132743,2
1537.037037037037,2
2038.4615384615383,2
1832.2981366459628,2
3352.9411764705883,2
2066.6666666666665,2
4866.666666666667,2
3133.333333333333,2
3807.017543859649,2
2446.153846153846,2
3258.928571428572,2
3730.769230769231,2
2597.826086956521,2
2753.846153846154,2
2850.0,2
3467.7419354838707,2
2159.090909090909,2
1727.9411764705883,2
2669.491525423729,2
4206.140350877193,2
3058.252427184466,2
3304.4058744993326,2
2035.7142857142856,2
3520.0,2
2982.4561403508774,2
1491.0179640718563,2
2967.479674796748,2
1480.0,2
2680.0,2
2265.151515151515,2
625.0,2
2905.4054054054054,2
4552.683896620279,2
4576.923076923077,2
4075.268817204301,2
2211.1111111111118,2
3852.459016393442,2
2493.75,2
2074.468085106383,2
1398.4375,2
2390.0,2
2028.4552845528456,2
3510.6382978723404,2
2780.0,2
7254.545454545455,2
1342.5925925925926,2
2661.2903225806454,2
2377.0491803278687,2
2319.767441860465,2
3215.3846153846152,2
2602.2727272727275,2
1604.8387096774193,2
3491.6666666666665,2
3272.7272727272725,2
2919.191919191919,2
2485.714285714286,2
2140.9395973154365,2
2086.41975308642,2
1120.967741935484,2
3555.555555555556,2
1992.0,2
2845.2380952380954,2
2034.8837209302328,2
1923.9766081871344,2
2586.206896551724,2
1354.1666666666667,2
2578.9473684210525,2
1733.3333333333333,2
3472.222222222222,2
3411.764705882353,2
1580.952380952381,2
3301.470588235294,2
2038.8349514563104,2
3126.6666666666665,2
1225.4901960784314,2
3714.285714285714,2
3047.619047619048,2
3934.2105263157896,2
3453.333333333333,2
3421.0526315789475,2
3729.281767955801,2
4247.311827956989,2
3231.7073170731705,2
2175.141242937853,2
3465.909090909091,2
2573.529411764706,2
3332.777777777778,2
2489.626556016597,2
2820.754716981132,2
3840.0,2
1481.4814814814815,2
2770.833333333333,2
1573.6842105263158,2
2606.55737704918,2
1930.6930693069307,2
984.7328244274808,2
1251.0460251046024,2
2987.2611464968154,2
1962.3655913978491,2
1164.7058823529412,2
3489.5104895104896,2
3027.586206896552,2
1047.3684210526317,2
2675.675675675676,2
3440.860215053764,2
3404.255319148936,2
2494.4444444444443,2
1804.3478260869565,2
2445.544554455445,2
1770.8333333333333,2
1830.0653594771245,2
1298.7012987012988,2
1980.0,2
4020.618556701031,2
2608.108108108108,2
3359.550561797753,2
3679.775280898876,2
3445.6521739130435,2
4126.21359223301,2
3649.253731343284,2
4114.583333333333,2
3949.4949494949497,2
3018.292682926829,2
4154.761904761905,2
3392.8571428571427,2
2242.4242424242425,2
900.0,2
4650.0,2
2568.181818181818,2
4211.111111111111,2
4271.428571428572,2
2409.090909090909,2
1183.431952662722,2
1436.4942528735633,2
2150.8379888268155,2
333.3333333333333,2
3484.848484848485,2
3629.032258064516,2
3066.0377358490564,2
1563.7254901960785,2
2674.79674796748,2
1227.2727272727273,2
3268.6567164179105,2
2316.3841807909603,2
2156.25,2
3010.204081632653,2
4187.5,2
3447.368421052632,2
2772.7272727272725,2
3516.4835164835163,2
4234.04255319149,2
3494.6236559139784,2
1538.4615384615386,2
2555.555555555556,2
3863.636363636364,2
2230.769230769231,2
1454.5454545454545,2
4292.1,2
4175.811023622047,2
2868.8524590163934,2
947.6190476190476,2
1929.032258064516,2
400.0,2
2878.048780487805,2
3025.3164556962024,2
1244.0944881889764,2
1460.0,2
2570.5882352941176,2
2100.558659217877,2
2027.932960893855,2
2567.5675675675675,2
1312.1951219512196,2
3108.108108108108,2
416.6666666666667,2
1502.3474178403756,2
1278.409090909091,2
2556.818181818182,2
2877.777777777778,2
2195.121951219512,2
1948.5294117647056,2
3030.612244897959,2
