Price,count
1360000,1
421000,1
456000,1
480381,1
133000,1
875668,1
649500,1
474601,1
660241,1
521700,1
471436,1
427810,1
451500,1
432000,1
127000,1
72500,1
238540,1
199999,1
549950,1
239505,1
311000,1
648000,1
1080000,1
487000,1
377000,1
450194,1
505181,1
637000,1
408500,1
243648,1
626000,1
563500,1
402989,1
418000,1
388000,1
558471,1
533200,1
529100,1
434100,1
322000,1
279300,1
410800,1
436729,1
457231,1
760000,1
394610,1
439352,1
433128,1
178000,1
389901,1
710000,1
3900000,1
475300,1
1675000,1
386050,1
381050,1
349350,1
385050,1
663000,1
999000,1
345987,1
482000,1
543471,1
361000,1
535300,1
431000,1
488000,1
452000,1
464000,1
348863,1
541000,1
326736,1
401000,1
413000,1
392000,1
269860,1
1285000,1
252000,1
386862,1
276000,1
346736,1
351000,1
406000,1
416000,1
499103,1
400207,1
436229,1
418471,1
454761,1
434400,1
628000,1
339950,1
2195000,1
96000,1
398500,1
344500,1
67000,1
362363,1
398242,1
1557800,1
444000,1
959000,1
374500,1
132500,1
789000,1
331304,1
45200,1
62000,1
72900,1
1070000,1
69500,1
39900,1
191000,1
354480,1
272500,1
74950,1
298500,1
1170000,1
127500,1
299256,1
224999,1
396700,1
391500,1
285380,1
308570,1
409600,1
414800,1
283280,1
303256,1
278256,1
2300000,1
880000,1
310500,1
840000,1
435377,1
302000,1
268500,1
173628,1
55000,1
84000,1
670000,1
349900,1
188000,1
842500,1
767500,1
1440000,1
1695000,1
2690000,1
1320000,1
333900,1
1375000,1
2550000,1
715000,1
1180000,1
920000,1
354900,1
447000,1
1187000,1
1670000,1
1485000,1
1400000,1
89900,1
187000,1
109500,1
333447,1
34500,1
3950000,1
486813,1
409640,1
405148,1
459196,1
345629,1
324471,1
342324,1
384335,1
329391,1
619036,1
352281,1
571929,1
367207,1
321471,1
44950,1
197500,1
427576,1
322500,1
331147,1
305500,1
259800,1
39500,1
998500,1
382660,1
361400,1
495500,1
1499000,1
493750,1
218000,1
511200,1
279950,1
953000,1
271434,1
435930,1
442390,1
179999,1
174500,1
420500,1
239950,1
322109,1
384500,1
458222,1
399775,1
1249000,1
652203,1
644000,1
597409,1
587589,1
1260000,1
324950,1
865000,1
714000,1
985000,1
341050,1
361050,1
1145000,1
1800000,1
485900,1
413139,1
296000,1
480316,1
459621,1
352000,1
361500,1
289275,1
223500,1
348500,1
338847,1
326900,1
2500,1
282000,1
226800,1
209270,1
1310000,1
8600002,1
125500,1
272000,1
234900,1
61157,1
25000,1
478980,1
329900,1
246900,1
375300,1
399400,1
360888,1
296600,1
366500,1
489500,1
216000,1
289500,1
469700,1
259500,1
283000,1
438000,1
486600,1
367728,1
341726,1
357000,1
317800,1
449630,1
369308,1
371448,1
427500,1
414974,1
319098,1
287000,1
551000,1
642611,1
336000,1
490616,1
327850,1
294415,1
353109,1
347551,1
352776,1
431115,1
630926,1
257500,1
439142,1
413716,1
505872,1
429448,1
463750,1
472794,1
433044,1
372879,1
203500,1
394500,1
447745,1
459919,1
560900,1
375375,1
512000,1
589000,1
395500,1
448500,1
374673,1
394308,1
369200,1
503397,1
352600,1
478400,1
749500,1
597500,1
493920,1
299792,1
269371,1
221521,1
417452,1
466331,1
492500,1
360679,1
373800,1
616300,1
597000,1
606000,1
466000,1
1122000,1
331281,1
445176,1
362500,1
339862,1
353100,1
352800,1
547000,1
559000,1
328000,1
383000,1
68500,1
805000,1
515800,1
360800,1
402975,1
454397,1
448485,1
449657,1
421147,1
421214,1
421293,1
449501,1
2498000,1
224900,1
434942,1
528950,1
898750,1
860000,1
579945,1
389400,1
412700,1
369876,1
439750,1
539850,1
487500,1
414500,1
812000,1
148500,1
947000,1
647000,1
929000,1
329500,1
255733,1
198700,1
1045000,1
196000,1
146000,1
264700,1
1000000,1
386500,1
159900,1
317622,1
328302,1
905000,1
330591,1
296308,1
308200,1
765000,1
436100,1
618264,1
1649000,1
538000,1
542979,1
611918,1
568373,1
549500,1
571979,1
474016,1
605447,1
389500,1
578231,1
599018,1
420165,1
1076000,1
269700,1
969000,1
1126849,1
474000,1
373334,1
1025000,1
497500,1
157500,1
930000,1
361200,1
321050,1
207000,1
518500,1
481000,1
453000,1
279999,1
457000,1
1854238,1
142500,1
659500,1
182500,1
748000,1
249900,1
176000,1
489781,1
426817,1
567000,1
205500,1
1235000,1
1145500,1
599500,1
594500,1
579900,1
106000,1
193500,1
227000,1
78000,1
289900,1
89500,1
390413,1
434532,1
288500,1
428500,1
574000,1
144000,1
1378074,1
479200,1
229700,1
768000,1
479850,1
114900,1
335500,1
98500,1
384600,1
505100,1
653800,1
315400,1
335400,1
576700,1
353500,1
114500,1
374975,1
232000,1
384800,1
319800,1
347000,1
128000,1
369500,1
371500,1
477000,1
373975,1
376500,1
433000,1
747500,1
345975,1
334235,1
179500,1
324900,1
318800,1
234800,1
474800,1
134800,1
