Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace Surface,Garden Surface,Number of facades,Swimming pool,State of building,Garden,Terrace
VBD46705,Quivrain,7380,355000,1,House,Sale,7,252,1,0,0,,,3,1,1,1,1
VBD46702,Lens,7870,140000,,Flat,Sale,1,60,,0,0,,89.0,,0,1,1,0
VBD46693,Kain,7540,430000,1,House,Sale,3,212,,0,0,,,,0,,1,1
VBD46689,Estaimpuis,7730,620,,Flat,Rent,1,58,,0,0,,,,0,1,0,0
VBD46686,Antoing,7640,235000,1,House,Sale,3,150,1,0,0,50.0,700.0,4,0,1,1,1
VBD46683,Courcelles,6180,299900,1,House,Sale,3,182,,0,0,,,4,0,,1,1
VBD46680,Mons,7000,309000,1,House,Sale,3,175,1,0,0,20.0,129.0,2,0,1,1,1
VBD46677,Quivrain,7380,335000,1,House,Sale,3,189,,0,0,,,4,0,,1,1
VBD46657,Fontaine-lvque,6140,137000,1,House,Sale,2,92,,0,0,,93.0,2,0,0,1,1
VBD46652,Tournai,7500,189900,1,MixedBuilding,Sale,3,192,,0,0,20.0,,2,0,0,0,1
VBD46647,Marcinelle,6001,99000,,Flat,Sale,2,86,,0,0,,,,0,0,0,1
VBD46645,Maurage,7110,209000,1,House,Sale,2,157,1,0,0,,,2,0,0,1,1
VBD46640,Trivires,7100,150000,1,House,Sale,4,,,0,0,,,2,0,,1,0
VBD46620,Kain,7540,430000,1,Cottage,Sale,3,212,1,0,1,,3242.0,3,0,2,1,1
VBD46618,Trazegnies,6183,279000,1,House,Sale,5,255,1,0,0,,,2,0,2,1,1
VBD46616,Wanferce-Baulet,6224,350000,1,House,Sale,4,152,1,0,0,,1600.0,4,0,1,1,0
VBD46615,Houdeng-Aimeries,7110,190000,1,House,Sale,3,232,,0,0,,,3,0,0,1,0
VBD46614,La Louvire,7100,125000,1,House,Sale,3,131,1,0,1,46.0,,3,0,1,1,1
VBD46613,Houdeng-Goegnies,7110,179000,1,House,Sale,4,181,,0,0,20.0,,3,0,1,1,1
VBD46607,Mouscron,7700,395,,FlatStudio,Rent,,19,,1,0,,,2,0,1,0,0
VBD46606,Tournai,7500,369000,,Triplex,Sale,7,251,1,0,0,80.0,,2,0,1,0,1
VBD46605,Molenbaix,7760,249000,1,House,Sale,3,134,1,0,0,,,3,0,2,0,1
VBD46601,Frameries,7080,70000,1,House,Sale,2,90,,0,0,15.0,,3,0,0,0,1
VBD46600,Frameries,7080,50000,1,House,Sale,1,50,,0,0,15.0,,2,0,0,0,1
VBD46599,Frameries,7080,150000,1,House,Sale,1,100,1,0,0,15.0,,2,0,1,1,1
VBD46597,La Bouverie,7080,165000,1,House,Sale,3,260,,0,0,30.0,,2,0,0,1,1
VBD46596,Dour,7370,250000,1,House,Sale,4,115,1,0,0,15.0,,3,0,1,1,1
VBD46582,Montigny-le-Tilleul,6110,249000,1,House,Sale,4,176,,0,0,,,3,0,1,0,1
VBD46578,Haine-Saint-Paul,7100,135000,1,House,Sale,2,,,0,0,,,2,0,,1,1
VBD46574,Peissant,7120,175000,1,Villa,PublicSale,3,,,0,0,,,4,0,,1,0
VBD46573,Gerpinnes,6280,399000,1,Villa,Sale,6,390,1,0,0,,1600.0,4,0,2,1,1
VBD46569,Braine-le-Comte,7090,445000,1,Villa,Sale,4,222,,0,0,,800.0,4,0,0,1,1
VBD46561,Tournai,7500,95000,1,House,Sale,,110,,0,0,,,2,0,0,0,0
VBD46560,Luingne,7700,195000,1,House,Sale,2,98,,0,0,14.0,160.0,2,0,1,1,1
RBU61395,Tournai,7500,165000,1,MixedBuilding,Sale,4,150,1,0,0,,,2,0,0,0,0
VBD46499,Beloeil,7970,375000,1,House,Sale,6,210,,0,0,,,4,0,0,1,0
VBD46483,Gilly,6060,157000,1,House,Sale,5,184,,0,0,35.0,,3,0,,0,1
VBD46481,Bernissart,7320,160000,1,House,Sale,4,,,0,0,,,3,0,,1,0
VBD46477,Jumet,6040,95000,1,House,Sale,2,,,0,0,,,2,0,0,0,1
VBD46476,Chtelineau,6200,105000,1,House,Sale,2,,,0,0,,,3,0,0,1,0
VBD46475,Tournai,7500,205000,1,House,Sale,3,,,0,0,,,2,0,2,1,1
VBD46471,Haine-Saint-Pierre,7100,175000,1,House,Sale,2,80,,0,0,10.0,280.0,3,0,,1,1
VBD46469,Bon-Secours,7603,100000,1,House,Sale,4,,,0,0,,,2,0,,1,0
VBD46452,Mons,7000,170000,1,House,Sale,2,138,,0,0,13.0,42.0,2,0,1,1,1
VBD46444,Chivres,7950,360000,1,House,Sale,,182,,0,0,,,,1,2,1,1
VBD46442,Bois-dHaine,7170,299000,1,House,Sale,4,108,1,0,0,,475.0,2,0,1,1,1
VBD46433,Mons,7000,185000,,Duplex,Sale,2,105,1,0,0,8.0,,2,0,0,0,1
VBD46419,Colfontaine,7340,85000,1,House,Sale,2,110,1,0,0,,275.0,2,0,0,1,0
VBD46418,Ploegsteert,7782,274900,1,Villa,Sale,3,190,,0,0,,,4,0,1,1,1
VBD46414,Tournai,7500,185000,,Flat,Sale,2,103,,0,0,15.0,,2,0,1,0,1
VBD46408,Nimy,7020,900,1,House,Rent,3,90,,0,0,,,,0,,0,0
VBD46407,Bouffioulx,6200,660,,Flat,Rent,1,,,0,0,,,2,0,1,0,0
VBD46392,Pruwelz,7600,750,,Flat,Rent,1,111,1,0,0,,,,0,2,0,1
VBD46385,Mons,7000,650,,Flat,Rent,1,76,,0,0,,,2,0,1,0,0
VBD46381,Mons,7000,890,,Flat,Rent,2,78,,0,0,,,2,0,,0,0
VBD46374,Kain,7540,260000,1,House,Sale,3,124,1,0,0,70.0,185.0,2,0,1,1,1
VBD46373,Ransart,6043,79900,1,House,Sale,2,96,,0,0,,,3,0,0,1,0
VBD46366,Ath,7800,219900,,Flat,Sale,2,88,,0,0,12.0,55.0,2,0,1,1,1
VBD46365,Gilly,6060,99000,1,House,Sale,2,70,,0,0,,,3,0,0,0,0
VBD46363,Dampremy,6020,160000,1,House,Sale,4,118,,0,0,,,2,0,,0,0
VBD46346,La Bouverie,7080,150000,1,House,Sale,3,147,,0,0,,,2,0,0,1,1
VBD46344,re,7500,229000,,Flat,Sale,2,89,1,0,0,,,,0,1,0,1
VBD46343,Fleurus,6220,249000,1,House,Sale,3,100,1,0,0,,670.0,3,0,,1,1
VBD46330,Tournai,7500,620,,Flat,Rent,1,57,,0,0,,,,0,2,0,1
VBD46329,Tournai,7500,900,1,House,Rent,3,200,,0,0,,,,0,2,1,1
VBD46313,Enghien,7850,800000,1,House,Sale,4,330,1,0,0,160.0,2300.0,4,0,2,1,1
VBD46307,Froidchapelle,6440,850,,Flat,Rent,3,183,,0,0,,,,0,1,1,0
VBD46304,Ath,7800,195000,,Flat,Sale,3,167,1,0,0,,,3,0,0,0,1
VBD46280,Pipaix,7904,185000,1,House,Sale,2,165,,0,0,,2000.0,4,0,0,1,0
VBD46277,Charleroi,6000,285000,1,House,Sale,2,190,,0,0,,,2,0,,1,1
VBD46261,Haine-Saint-Pierre,7100,650000,1,House,Sale,6,354,,0,0,45.0,450.0,3,0,,1,1
VBD46260,Soignies,7060,295000,1,House,Sale,5,150,,0,0,40.0,80.0,3,0,,1,1
VBD46259,Ecaussinnes,7190,160000,1,House,Sale,2,130,,0,0,10.0,380.0,2,0,,1,1
